iter	RMSE
0	12.05475937
1	11.47506543
2	10.86824443
3	10.31669093
4	9.818905239
5	9.432961295
6	9.043737204
7	8.709125037
8	8.433424417
9	8.151363032
10	7.909689818
11	7.665194336
12	7.467519173
13	7.252316221
14	7.062338144
15	6.90853789
16	6.760010351
17	6.649485728
18	6.531368735
19	6.433263005
20	6.351094074
21	6.257476002
22	6.206101167
23	6.147744379
24	6.080984735
25	6.025064875
26	5.961602345
27	5.899928186
28	5.853924681
29	5.801868178
30	5.768304078
31	5.716293104
32	5.68008784
33	5.633718257
34	5.585489726
35	5.551745771
36	5.505260035
37	5.469991869
38	5.439054052
39	5.407007564
40	5.377312602
41	5.362317671
42	5.333806736
43	5.298427863
44	5.274350291
45	5.24701225
46	5.221670104
47	5.197199937
48	5.16479735
49	5.162514111
50	5.137082274
51	5.105451945
52	5.087881904
53	5.072832802
54	5.070185196
55	5.052701619
56	5.03580971
57	5.014717725
58	5.000220032
59	4.986296889
60	4.972674557
61	4.952540269
62	4.93555888
63	4.922572402
64	4.905553072
65	4.882850883
66	4.874013078
67	4.860873952
68	4.846173257
69	4.833430896
70	4.807417477
71	4.785956463
72	4.770451323
73	4.747801471
74	4.73395671
75	4.720515982
76	4.700216162
77	4.676437392
78	4.656022435
79	4.642393161
80	4.621182626
81	4.597920894
82	4.58831098
83	4.576748368
84	4.546779319
85	4.529245364
86	4.518839097
87	4.50781345
88	4.489630199
89	4.467287465
90	4.449471829
91	4.434077844
92	4.417535713
93	4.404646025
94	4.38724598
95	4.370594037
96	4.35359746
97	4.337189568
98	4.322967072
99	4.301227264
100	4.287734978
101	4.274240214
102	4.267843545
103	4.257171393
104	4.247162754
105	4.230020532
106	4.218789198
107	4.207284135
108	4.199915323
109	4.190798162
110	4.177282355
111	4.167060132
112	4.157069584
113	4.143872517
114	4.131359098
115	4.124199737
116	4.110198834
117	4.093960461
118	4.08409944
119	4.080250248
120	4.06921039
121	4.055395032
122	4.048237497
123	4.043308691
124	4.030581068
125	4.010241331
126	4.002535176
127	3.988850561
128	3.978644837
129	3.968603391
130	3.962600256
131	3.945070059
132	3.929801431
133	3.915913128
134	3.901471273
135	3.88929181
136	3.876102823
137	3.865613222
138	3.851067093
139	3.84115991
140	3.832169595
141	3.818488329
142	3.805192896
143	3.791278359
144	3.776521898
145	3.763935842
146	3.7585565
147	3.748327509
148	3.73572723
149	3.723774826
150	3.713954003
151	3.707607679
152	3.694731262
153	3.689456002
154	3.677275264
155	3.673770457
156	3.66772856
157	3.657249969
158	3.644894529
159	3.629950948
160	3.620781162
161	3.612479914
162	3.601272827
163	3.593981168
164	3.586874215
165	3.57703625
166	3.573029134
167	3.558130212
168	3.551078939
169	3.545921669
170	3.532674968
171	3.529162887
172	3.51951101
173	3.511181171
174	3.504957867
175	3.496223866
176	3.491597419
177	3.484208015
178	3.472962621
179	3.461838371
180	3.455127826
181	3.451640482
182	3.444594564
183	3.433896385
184	3.427469103
185	3.421310058
186	3.416989322
187	3.409754626
188	3.394984205
189	3.387888793
190	3.383231213
191	3.375812391
192	3.361505944
193	3.351631011
194	3.34721321
195	3.337973947
196	3.331807561
197	3.325805152
198	3.311041751
199	3.302920936
200	3.290992458
201	3.283853146
202	3.280992499
203	3.275214716
204	3.269374059
205	3.265650596
206	3.262629701
207	3.255695906
208	3.2485029
209	3.237243316
210	3.226919676
211	3.219328066
212	3.212870955
213	3.203117686
214	3.199313145
215	3.192177062
216	3.187574628
217	3.178056316
218	3.175033108
219	3.169185146
220	3.162213828
221	3.156718385
222	3.152956598
223	3.144676903
224	3.141276284
225	3.13199822
226	3.126209233
227	3.117146627
228	3.114128803
229	3.106045213
230	3.102263046
231	3.097591248
232	3.094227757
233	3.090423344
234	3.086310693
235	3.079603715
236	3.070135423
237	3.064676891
238	3.05789666
239	3.049920649
240	3.047282814
241	3.040589505
242	3.031031529
243	3.021950948
244	3.016498608
245	3.011066662
246	3.008325701
247	3.000198386
248	2.98949692
249	2.982274757
